City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
59,Grand Gaube,MU,-20.0064,57.6608,68.4,67,91,1.01,overcast clouds,2022-09-08 03:10:09
60,Tuktoyaktuk,CA,69.4541,-133.0374,40.48,90,100,10.71,overcast clouds,2022-09-08 03:10:09
61,Dikson,RU,73.5069,80.5464,36.91,92,100,20.38,light rain,2022-09-08 03:10:10
62,Severo-Kurilsk,RU,50.6789,156.125,56.14,95,100,11.97,overcast clouds,2022-09-08 03:10:10
63,Norman Wells,CA,65.282,-126.8329,48.92,65,89,5.57,overcast clouds,2022-09-08 03:07:58
64,Hilo,US,19.7297,-155.09,81.28,78,100,9.22,overcast clouds,2022-09-08 03:10:10
65,Van Buren,US,35.4368,-94.3483,77.32,63,0,4.61,clear sky,2022-09-08 03:10:10
66,Provideniya,RU,64.3833,-173.3,53.71,66,75,13.42,broken clouds,2022-09-08 03:10:11
67,New Norfolk,AU,-42.7826,147.0587,58.5,71,100,3.0,overcast clouds,2022-09-08 03:10:11
68,Saldanha,ZA,-33.0117,17.9442,55.18,90,0,17.36,clear sky,2022-09-08 03:10:11
69,Port Lincoln,AU,-34.7333,135.8667,59.7,76,98,21.9,light rain,2022-09-08 03:05:20
70,Avera,US,33.194,-82.5271,74.71,70,98,5.06,overcast clouds,2022-09-08 03:10:11
71,Tuatapere,NZ,-46.1333,167.6833,51.01,63,23,3.31,few clouds,2022-09-08 03:10:12
72,Vaini,TO,-21.2,-175.2,78.96,94,20,6.91,few clouds,2022-09-08 03:10:12
73,Byron Bay,AU,-28.65,153.6167,69.94,57,87,7.05,overcast clouds,2022-09-08 03:10:12
74,Albany,US,42.6001,-73.9662,61.34,93,34,2.59,scattered clouds,2022-09-08 03:10:12
75,Agadez,NE,19.75,10.25,84.74,17,0,12.91,clear sky,2022-09-08 03:10:13
76,Rikitea,PF,-23.1203,-134.9692,72.55,74,0,24.07,clear sky,2022-09-08 03:10:13
77,Riyadh,SA,24.6877,46.7219,91.54,15,0,7.34,clear sky,2022-09-08 03:05:28
78,Pisco,PE,-13.7,-76.2167,59.05,88,100,12.66,overcast clouds,2022-09-08 03:10:13
79,Ginir,ET,7.1333,40.7,59.86,79,90,10.67,overcast clouds,2022-09-08 03:10:13
80,Mar Del Plata,AR,-38.0023,-57.5575,59.95,78,0,5.99,clear sky,2022-09-08 03:10:14
81,Bambous Virieux,MU,-20.3428,57.7575,68.25,77,75,11.5,light rain,2022-09-08 03:10:14
82,Gizo,SB,-8.103,156.8419,83.75,70,19,3.58,light rain,2022-09-08 03:10:14
83,Vila Franca Do Campo,PT,37.7167,-25.4333,79.2,94,42,11.74,light rain,2022-09-08 03:10:14
84,Talnakh,RU,69.4865,88.3972,36.21,63,96,5.44,overcast clouds,2022-09-08 03:10:15
85,Asyut,EG,27.181,31.1837,76.62,65,0,7.9,clear sky,2022-09-08 03:10:15
86,Oksfjord,NO,70.2396,22.3479,46.58,84,98,5.57,overcast clouds,2022-09-08 03:10:15
