City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
189,Bhimunipatnam,IN,80.11,overcast clouds,17.8833,83.4333,Bheemili Court
196,Manokwari,ID,83.21,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
205,Meulaboh,ID,81.84,overcast clouds,4.1363,96.1285,Kost Pria
206,Paragould,US,75.02,scattered clouds,36.0584,-90.4973,Linwood Motel
209,Fomboni,KM,75.6,clear sky,-12.28,43.7425,Auberge les abou
210,Bowen,AU,73.29,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
215,Alto Araguaia,BR,73.69,few clouds,-17.3147,-53.2153,Araguaia Palace Hotel
217,Gamboma,CG,74.34,overcast clouds,-1.8764,15.8644,Residence N'Keni
221,Bengkulu,ID,81.27,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
224,Oranjestad,AW,84.15,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
226,Tateyama,JP,82.09,broken clouds,34.9833,139.8667,Tateyama Seaside Hotel
235,Tumen,CN,78.01,clear sky,42.9661,129.8425,Friendship Hotel
238,Panaba,MX,77.32,broken clouds,21.2833,-88.2667,Hotel Don Fernando
239,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
242,Mana,GF,77.63,clear sky,5.6592,-53.7767,LE SAMANA
244,Arrecife,ES,71.58,clear sky,28.963,-13.5477,Hotel Lancelot
248,North Myrtle Beach,US,75.22,scattered clouds,33.816,-78.68,Avista Resort
250,Honiara,SB,87.22,scattered clouds,-9.4333,159.95,Heritage Park Hotel
251,Tura,IN,84.22,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
258,Urucui,BR,77.22,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
260,Kumphawapi,TH,82.29,overcast clouds,17.1087,103.0149,ลีลาวดี รีสอร์ท
261,Marsa Matruh,EG,75.31,clear sky,31.3525,27.2453,Beau Site
262,Itupiranga,BR,80.92,few clouds,-5.1347,-49.3267,Hotel Panorama
265,Cockburn Town,TC,83.16,clear sky,21.4612,-71.1419,Osprey Beach Hotel
268,Ambon,ID,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
269,Kuytun,RU,72.05,broken clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
270,Portland,US,75.13,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
272,Lorengau,PG,85.77,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
281,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
282,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
283,Coari,BR,78.26,overcast clouds,-4.085,-63.1414,Dellrey Hotel Center
284,Hasaki,JP,75.6,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
298,Poplar Bluff,US,73.18,broken clouds,36.757,-90.3929,Holiday Inn Poplar Bluff
299,Bouna,CI,71.38,light rain,9.2667,-3.0,Hôtel lababa
300,Pokhara,NP,78.04,scattered clouds,28.2333,83.9833,OYO 170 Hotel View Point
302,Nelson Bay,AU,71.1,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
306,Balanacan,PH,84.18,scattered clouds,13.5289,121.8677,GuisianCove Resort
308,Sao Miguel Do Araguaia,BR,79.88,clear sky,-13.275,-50.1628,Hotel Executivo Palace
309,Luanda,AO,71.6,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
310,Eirunepe,BR,76.8,clear sky,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
312,Xinan,CN,82.04,clear sky,26.72,119.8556,昌雄大酒店
318,Eyl,SO,77.47,broken clouds,7.9803,49.8164,Amiin Hotel
320,Buraydah,SA,79.25,clear sky,26.326,43.975,Mövenpick Qassim
321,Baker City,US,75.6,clear sky,44.7749,-117.8344,Bridge Street Inn
332,Gua Musang,MY,80.65,overcast clouds,4.8823,101.9644,Mines Inn Hotel
333,Shiyan,CN,78.46,light rain,32.6475,110.7781,Fenghuang Garden Holiday Hotel
334,Sabang,ID,82.76,overcast clouds,5.8933,95.3214,Hotel Citra
336,Lamar,US,81.36,broken clouds,33.6668,-95.5836,Kings Inn Paris TX
339,Cururupu,BR,75.02,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
342,Villanueva,HN,80.04,broken clouds,15.3167,-88.0,IGLESIA EVANGELICA DEL PRINCIPE DE PAZ
343,Kananga,CD,71.94,clear sky,-5.8958,22.4178,Guest House Wood Land
344,Soyo,AO,73.53,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
346,Ankang,CN,78.26,light rain,32.68,109.0172,安琪酒店
348,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
349,Baiyin,CN,72.52,clear sky,36.5583,104.2081,GreenTree Alliance Gansu Baiyin Renmin Road Hotel
350,Mantua,IT,74.35,moderate rain,45.1667,10.7833,Hotel la Favorita
354,Iwai,JP,80.53,overcast clouds,36.05,139.9,Hotel Green core Bando
355,Shimoni,KE,72.09,few clouds,-4.6476,39.3817,Shimoni Reef Lodge
356,Limon,CR,78.06,overcast clouds,10.0,-83.0333,Hotel Playa Bonita
357,Safaga,EG,83.59,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
358,Pecos,US,83.3,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos Northeast
359,Alyangula,AU,80.71,clear sky,-13.8483,136.4192,Groote Eylandt Lodge
360,San Cristobal,VE,78.98,scattered clouds,7.7669,-72.225,Pirineos
361,Bonthe,SL,75.54,moderate rain,7.5264,-12.505,Bonthe Holiday Village
362,Kavieng,PG,84.58,light rain,-2.5744,150.7967,Nusa Island Retreat
